battery_id,condition,cycle
RW10,Uniform RT,1
RW10,Uniform RT,2
RW10,Uniform RT,3
RW10,Uniform RT,4
RW10,Uniform RT,5
RW10,Uniform RT,6
RW10,Uniform RT,7
RW10,Uniform RT,8
RW10,Uniform RT,9
RW10,Uniform RT,10
RW10,Uniform RT,11
RW10,Uniform RT,12
RW10,Uniform RT,13
RW10,Uniform RT,14
RW10,Uniform RT,15
RW10,Uniform RT,16
RW10,Uniform RT,17
RW10,Uniform RT,18
RW10,Uniform RT,19
RW10,Uniform RT,20
RW10,Uniform RT,21
RW10,Uniform RT,22
RW10,Uniform RT,23
RW10,Uniform RT,24
RW10,Uniform RT,25
RW10,Uniform RT,26
RW10,Uniform RT,27
RW10,Uniform RT,28
RW10,Uniform RT,29
RW10,Uniform RT,30
RW10,Uniform RT,31
RW10,Uniform RT,32
RW10,Uniform RT,33
RW10,Uniform RT,34
RW10,Uniform RT,35
RW10,Uniform RT,36
RW10,Uniform RT,37
RW10,Uniform RT,38
RW10,Uniform RT,39
RW10,Uniform RT,40
RW10,Uniform RT,41
RW10,Uniform RT,42
RW10,Uniform RT,43
RW10,Uniform RT,44
RW10,Uniform RT,45
RW10,Uniform RT,46
RW10,Uniform RT,47
RW10,Uniform RT,48
RW10,Uniform RT,49
RW10,Uniform RT,50
RW10,Uniform RT,51
RW10,Uniform RT,52
RW10,Uniform RT,53
RW10,Uniform RT,54
RW10,Uniform RT,55
RW10,Uniform RT,56
RW10,Uniform RT,57
RW10,Uniform RT,58
RW10,Uniform RT,59
RW10,Uniform RT,60
RW10,Uniform RT,61
RW10,Uniform RT,62
RW10,Uniform RT,63
RW10,Uniform RT,64
RW10,Uniform RT,65
RW10,Uniform RT,66
RW10,Uniform RT,67
RW10,Uniform RT,68
RW10,Uniform RT,69
RW10,Uniform RT,70
RW10,Uniform RT,71
RW10,Uniform RT,72
RW10,Uniform RT,73
RW10,Uniform RT,74
RW10,Uniform RT,75
RW10,Uniform RT,76
RW10,Uniform RT,77
RW11,Uniform RT,1
RW11,Uniform RT,2
RW11,Uniform RT,3
RW11,Uniform RT,4
RW11,Uniform RT,5
RW11,Uniform RT,6
RW11,Uniform RT,7
RW11,Uniform RT,8
RW11,Uniform RT,9
RW11,Uniform RT,10
RW11,Uniform RT,11
RW11,Uniform RT,12
RW11,Uniform RT,13
RW11,Uniform RT,14
RW11,Uniform RT,15
RW11,Uniform RT,16
RW11,Uniform RT,17
RW11,Uniform RT,18
RW11,Uniform RT,19
RW11,Uniform RT,20
RW11,Uniform RT,21
RW11,Uniform RT,22
RW11,Uniform RT,23
RW11,Uniform RT,24
RW11,Uniform RT,25
RW11,Uniform RT,26
RW11,Uniform RT,27
RW11,Uniform RT,28
RW11,Uniform RT,29
RW11,Uniform RT,30
RW11,Uniform RT,31
RW11,Uniform RT,32
RW11,Uniform RT,33
RW11,Uniform RT,34
RW11,Uniform RT,35
RW11,Uniform RT,36
RW11,Uniform RT,37
RW11,Uniform RT,38
RW11,Uniform RT,39
RW11,Uniform RT,40
RW11,Uniform RT,41
RW11,Uniform RT,42
RW11,Uniform RT,43
RW11,Uniform RT,44
RW11,Uniform RT,45
RW11,Uniform RT,46
RW11,Uniform RT,47
RW11,Uniform RT,48
RW11,Uniform RT,49
RW11,Uniform RT,50
RW11,Uniform RT,51
RW11,Uniform RT,52
RW11,Uniform RT,53
RW11,Uniform RT,54
RW11,Uniform RT,55
RW11,Uniform RT,56
RW11,Uniform RT,57
RW11,Uniform RT,58
RW11,Uniform RT,59
RW11,Uniform RT,60
RW11,Uniform RT,61
RW11,Uniform RT,62
RW11,Uniform RT,63
