cycle,ri,peak_temp,voltage_drop,duration,mean_rw_temp,max_rw_temp
1,0.08275,26.36,0.916,7542.91,25.0,25.0
2,0.08309,26.39,0.916,7533.88,25.0,25.0
3,0.08679,26.31,0.912,7387.07,28.53,36.36
4,0.08786,25.49,0.911,7363.89,28.53,36.36
5,0.0927,25.72,0.906,7123.11,28.61,37.27
6,0.09289,26.47,0.906,7130.05,28.61,37.27
7,0.09298,25.97,0.906,6886.63,28.31,36.33
8,0.09467,25.43,0.904,6858.54,28.31,36.33
9,0.09566,26.03,0.903,6720.85,28.76,37.59
10,0.09467,26.97,0.904,6719.24,28.76,37.59
11,0.09773,33.5,0.901,6329.38,28.07,35.14
12,0.10029,32.82,0.898,6293.24,28.07,35.14
13,0.10277,32.36,0.896,6149.24,34.3,41.56
14,0.10188,33.45,0.897,6159.97,34.3,41.56
15,0.0997,34.54,0.899,5963.85,34.53,42.37
