voltage,current,temperature,relativeTime
4.116,1.005,22.72138,0.04
4.102,1.0,20.09283,10.04
4.094,1.0,20.10838,20.04
4.088,1.0,20.12394,30.04
4.082,1.0,20.13949,40.04
4.077,1.0,20.15504,50.04
4.073,1.0,20.1706,60.04
4.069,1.0,20.18615,70.03999999999999
4.066,1.0,20.2017,80.03999999999999
4.063,1.0,20.21726,90.03999999999999
4.06,1.0,20.23281,100.03999999999999
4.058,1.0,20.24837,110.03999999999999
4.055,1.0,20.26392,120.04
4.053,1.0,23.28131,130.04
4.051,1.0,23.28131,140.04
4.049,1.0,23.28131,150.04
4.047,0.999,23.29687,160.04
4.045,1.0,23.31242,170.04
4.044,1.0,23.34353,180.04
4.042,1.0,23.34353,190.04
4.04,1.0,23.37463,200.04
4.039,1.0,23.40574,210.04
4.037,1.0,23.4213,220.04
4.035,1.0,23.43685,230.04
4.034,1.0,23.43685,240.04
4.032,1.0,23.4524,250.04
4.031,1.0,23.46796,260.04
4.03,0.999,23.49906,270.04
4.028,1.0,23.51462,280.04
4.027,1.0,23.51462,290.04
4.025,1.0,23.53017,300.04
4.024,1.001,23.53017,310.04
4.022,0.999,23.53017,320.04
4.021,1.0,23.54572,330.04
4.02,1.0,23.57683,340.04
4.018,1.0,23.57683,350.04
4.017,1.0,23.57683,360.04
4.015,1.0,23.59239,370.04
4.014,1.0,23.60794,380.04
4.013,1.0,23.62349,390.04
4.012,1.0,23.63905,400.04
4.01,1.0,23.6546,410.04
4.009,1.0,23.67015,420.04
4.008,1.0,23.68571,430.04
4.006,0.999,23.68571,440.04
4.005,1.0,23.70126,450.04
4.004,1.001,23.71681,460.04
4.002,1.0,23.71681,470.04
4.001,1.0,23.71681,480.04
4.0,0.999,23.73237,490.04
3.998,1.0,23.74792,500.04
3.997,1.0,23.74792,510.04
3.996,1.0,23.73237,520.04
3.995,1.0,23.73237,530.04
3.993,1.0,23.74792,540.04
3.992,1.0,23.76347,550.04
3.991,0.999,23.77903,560.04
3.99,1.0,23.77903,570.04
3.988,1.0,23.79458,580.04
3.987,1.0,23.79458,590.04
3.986,1.0,23.81013,600.04
3.984,1.0,23.82569,610.04
3.983,1.0,23.82569,620.04
3.982,1.0,23.84124,630.04
3.981,1.0,23.8568,640.04
3.979,1.0,23.87235,650.04
3.978,1.0,23.8879,660.04
3.977,1.0,23.90346,670.04
3.976,1.0,23.90346,680.04
3.974,1.0,23.90346,690.04
3.973,1.0,23.87235,700.04
3.972,1.0,23.8879,710.04
3.971,0.999,23.90346,720.04
3.969,1.0,23.91901,730.04
3.968,1.001,23.93456,740.04
3.967,1.0,23.93456,750.04
3.966,1.0,23.96567,760.04
3.965,1.0,23.99678,770.04
3.963,1.0,24.01233,780.04
3.962,1.0,24.02789,790.04
3.961,1.0,24.04344,800.04
3.96,0.999,24.05899,810.04
3.958,1.0,24.07454,820.04
3.957,1.0,24.07454,830.04
3.956,1.0,24.0901,840.04
3.955,1.0,24.0901,850.04
3.954,1.0,24.0901,860.04
3.952,1.0,24.10565,870.04
3.951,1.0,24.10565,880.04
3.95,1.0,24.10565,890.04
3.949,0.999,24.10565,900.04
3.948,1.0,24.10565,910.04
3.946,1.0,24.10565,920.04
3.945,1.0,24.13676,930.04
3.944,1.0,24.16787,940.04
3.943,0.999,24.18342,950.04
3.942,1.0,24.21453,960.04
3.94,0.999,24.24563,970.04
3.939,1.0,24.27674,980.04
3.938,1.0,24.30785,990.04
3.937,1.0,24.35451,1000.04
3.936,1.0,24.37006,1010.04
3.935,1.0,24.38562,1020.04
3.933,0.999,24.40117,1030.04
3.932,1.0,24.40117,1040.04
